FluorCam10 Numeric Export File
-----------------------------------
 	A01	B01	D01	E01	A02	B02	C02	D02	E02	A03	B03	D03	E03	A04	B04	C04	D04	E04	A05	B05	C05	D05	E05	A06	B06	C06	D06	E06	A07	B07	C07	D07	E07	A08	B08	D08	A09	B09	C09	D09	E09	A10	B10	C10	D10	E10	A11	B11	C11	D11	E11	A12	B12	C12	D12	E12
Fq_L1	583.86	340.72	638.24	673.48	666.7	530.23	462.25	863.17	575.35	448.07	446.79	957.1	532.11	455.05	708.75	665.47	942.82	869.35	708.32	814.62	867.62	984.8	587.65	799.13	837.07	516.62	731.15	545.72	458.71	463.31	911.05	514.61	842.82	507.49	732.97	616.82	559.79	554.62	940.16	658.36	744.21	573.25	834.48	833.41	592.25	803.59	706.58	650	806.15	448.69	833.12	611.57	787.74	470.43	539.37	844.31
Fq_L2	585.96	342.3	631.57	667.81	653.23	248.22	464.05	858.75	573.18	444.9	447.39	955.06	530.66	449.17	714.52	668.11	932.07	863.14	700.66	813.36	867.3	966.13	594.19	793.45	825.31	507.83	722.76	402.37	457.68	462.42	898.8	505.87	834.04	500.74	737.8	615.78	556.42	549.81	928.42	633.99	722.81	573.66	828.46	832.97	586.72	799.05	712.19	658	805.91	444.58	842.89	605.16	793.99	476.84	528.04	838.43
Fq_L3	575.57	351.02	634.88	670.25	658.52	246.39	462.59	848.97	573.22	441.42	447.58	942.88	521.57	457.39	716.2	665.77	924	865.46	700.19	818.37	862.56	960.4	595.57	791.77	818.68	517.07	709.81	406.23	457.68	465.54	899.94	505.18	830.53	499.14	726.23	609.93	553.89	531.38	930.17	634.32	731.94	564.22	824.45	834.72	580.56	793.33	711.05	664.62	796	438.03	835.93	602.55	782.22	475.04	532	850.01
Fq_L4	576.17	341.98	634.42	669.5	657.26	248.57	463.66	845.14	573.59	440.62	447.87	940.5	518.02	449.42	712.69	666.04	919.49	857.67	696.09	806.3	852.97	953.94	582.27	796.46	816.93	512.93	710.1	403.11	445.27	461.24	893.38	509.84	827.65	493.19	726.73	596.85	551.93	532.06	928.9	626.73	732.52	555.9	821.15	819.69	588.48	796.88	698.54	651.74	791.99	438.26	832.65	595.53	777.48	474.62	526.14	842.01
QY_max	0.81	0.8	0.81	0.79	0.82	0.79	0.82	0.81	0.82	0.8	0.8	0.81	0.8	0.8	0.79	0.82	0.8	0.79	0.79	0.79	0.79	0.81	0.79	0.8	0.8	0.8	0.82	0.78	0.8	0.81	0.82	0.79	0.79	0.8	0.79	0.8	0.8	0.8	0.81	0.77	0.81	0.79	0.81	0.81	0.8	0.78	0.8	0.81	0.8	0.8	0.8	0.8	0.81	0.82	0.8	0.79
Fv/Fm_L1	0.81	0.8	0.81	0.79	0.81	0.73	0.82	0.8	0.82	0.79	0.8	0.81	0.8	0.8	0.79	0.82	0.8	0.79	0.79	0.79	0.79	0.8	0.79	0.8	0.8	0.8	0.82	0.78	0.8	0.81	0.81	0.79	0.79	0.8	0.78	0.8	0.79	0.8	0.81	0.77	0.8	0.78	0.81	0.81	0.8	0.78	0.79	0.81	0.8	0.79	0.79	0.8	0.81	0.82	0.8	0.79
Fv/Fm_L2	0.81	0.8	0.81	0.79	0.81	0.45	0.82	0.8	0.82	0.79	0.8	0.81	0.8	0.79	0.79	0.82	0.8	0.79	0.79	0.79	0.79	0.8	0.79	0.8	0.79	0.8	0.81	0.69	0.8	0.81	0.81	0.79	0.79	0.8	0.78	0.8	0.79	0.8	0.81	0.77	0.8	0.78	0.81	0.81	0.8	0.78	0.79	0.8	0.8	0.79	0.8	0.8	0.81	0.82	0.79	0.79
Fv/Fm_L3	0.81	0.8	0.81	0.79	0.81	0.45	0.82	0.8	0.82	0.79	0.8	0.81	0.8	0.79	0.79	0.82	0.8	0.79	0.79	0.79	0.79	0.8	0.79	0.8	0.79	0.8	0.81	0.7	0.8	0.8	0.81	0.79	0.79	0.8	0.78	0.8	0.79	0.8	0.81	0.77	0.8	0.78	0.81	0.81	0.8	0.78	0.79	0.81	0.8	0.79	0.79	0.8	0.8	0.82	0.79	0.79
Fv/Fm_L4	0.81	0.8	0.81	0.79	0.81	0.45	0.82	0.8	0.82	0.79	0.8	0.81	0.8	0.79	0.79	0.82	0.8	0.79	0.79	0.79	0.79	0.8	0.79	0.8	0.79	0.8	0.81	0.7	0.79	0.8	0.81	0.79	0.79	0.8	0.78	0.79	0.79	0.8	0.81	0.77	0.8	0.78	0.81	0.81	0.8	0.78	0.79	0.81	0.8	0.79	0.79	0.8	0.81	0.82	0.79	0.79
QY_L1	0.81	0.79	0.8	0.78	0.81	0.78	0.81	0.8	0.81	0.79	0.78	0.81	0.8	0.79	0.79	0.81	0.8	0.79	0.78	0.79	0.78	0.8	0.78	0.79	0.8	0.8	0.81	0.77	0.79	0.79	0.81	0.79	0.79	0.8	0.77	0.79	0.79	0.81	0.82	0.78	0.81	0.77	0.81	0.81	0.79	0.77	0.79	0.8	0.8	0.79	0.79	0.8	0.8	0.81	0.8	0.78
